orf_id	contig	orf_index	phrog_id	phrog_category	evalue	score
PC1431052_2	PC1431052	2	1112	moron, auxiliary metabolic gene and host takeover	4e-80	270.2
PC1148624_2	PC1148624	2	8723	unknown function	0.00012	23.3
PC511619_4	PC511619	4	NA	unannotated	NA	NA
PC61490_2	PC61490	2	17128	unknown function	2.6e-88	297.2
PC94756_5	PC94756	5	3980	unknown function	1.7e-22	81.3
PC141118_3	PC141118	3	27886	unknown function	0.093	14.5
PC496791_1	PC496791	1	NA	unannotated	NA	NA
PC861069_4	PC861069	4	NA	unannotated	NA	NA
PC139486_1	PC139486	1	10776	unknown function	2.3e-40	140.2
PC913592_6	PC913592	6	35155	unknown function	6.3e-36	125.7
PC893807_3	PC893807	3	8530	unknown function	0.015	16.8
PC1049046_2	PC1049046	2	4871	other	2e-287	957.2
PC191478_11	PC191478	11	1249	other	4.1e-05	24.9
PC520320_7	PC520320	7	5885	unknown function	0.16	13.8
PC121838_7	PC121838	7	5594	unknown function	3.5e-49	169.6
PC390020_4	PC390020	4	12933	unknown function	2.3e-12	48.8
PC538896_7	PC538896	7	418	head and packaging	3e-17	64.7
PC954651_1	PC954651	1	NA	unannotated	NA	NA
PC513187_6	PC513187	6	17138	unknown function	0.13	13.8
PC755162_1	PC755162	1	20200	unknown function	0.0041	18.4
PC1564832_4	PC1564832	4	NA	unannotated	NA	NA
PC557016_2	PC557016	2	NA	unannotated	NA	NA
PC1244201_6	PC1244201	6	21194	unknown function	0.0018	18.9
PC1199816_3	PC1199816	3	2361	other	6.3e-25	89.5
PC317201_1	PC317201	1	9611	lysis	6.1e-44	151.9
PC685522_1	PC685522	1	7800	moron, auxiliary metabolic gene and host takeover	4.7e-22	79.8
PC1473079_1	PC1473079	1	3895	moron, auxiliary metabolic gene and host takeover	2.2e-12	48.9
PC750251_2	PC750251	2	NA	unannotated	NA	NA
PC1092411_2	PC1092411	2	NA	unannotated	NA	NA
PC168596_3	PC168596	3	31146	unknown function	0.046	14.1
PC1088715_1	PC1088715	1	9078	unknown function	0.53	11.6
PC83574_3	PC83574	3	NA	unannotated	NA	NA
PC886932_6	PC886932	6	5982	unknown function	1.2e-17	64.5
PC1279645_1	PC1279645	1	453	DNA, RNA and nucleotide metabolism	7.4e-39	135.8
PC656169_1	PC656169	1	6397	DNA, RNA and nucleotide metabolism	0.035	14.2
PC1510776_4	PC1510776	4	17293	unknown function	2.2e-05	26.6
PC1287946_1	PC1287946	1	4700	unknown function	0.56	11.4
PC232351_1	PC232351	1	2084	unknown function	0.13	13.7
PC404633_2	PC404633	2	26652	unknown function	0.13	14.2
PC1294257_4	PC1294257	4	6880	other	2.8e-44	152.8
PC416876_1	PC416876	1	NA	unannotated	NA	NA
PC473296_4	PC473296	4	NA	unannotated	NA	NA
PC30562_2	PC30562	2	13773	unknown function	0.13	14.1
PC55473_4	PC55473	4	NA	unannotated	NA	NA
PC988915_1	PC988915	1	26240	unknown function	0.21	13.6
PC140087_2	PC140087	2	3142	moron, auxiliary metabolic gene and host takeover	6.5e-51	174.9
PC133145_1	PC133145	1	NA	unannotated	NA	NA
PC1124461_2	PC1124461	2	NA	unannotated	NA	NA
PC285925_4	PC285925	4	4402	DNA, RNA and nucleotide metabolism	1.3e-17	65.4
PC218692_1	PC218692	1	15791	unknown function	0.027	16.0
PC1329194_2	PC1329194	2	11493	unknown function	7.2e-09	36.3
PC1505570_2	PC1505570	2	844	moron, auxiliary metabolic gene and host takeover	2.4e-32	113.7
PC467041_3	PC467041	3	32449	unknown function	0.035	15.4
PC461020_2	PC461020	2	2199	integration and excision	1.4e-07	32.4
PC444330_2	PC444330	2	NA	unannotated	NA	NA
PC333529_2	PC333529	2	NA	unannotated	NA	NA
PC811011_2	PC811011	2	24600	unknown function	0.3	13.1
PC2734_5	PC2734	5	632	moron, auxiliary metabolic gene and host takeover	0.0001	24.0
PC261442_3	PC261442	3	8319	unknown function	0.0049	18.7
PC272314_4	PC272314	4	33070	unknown function	0.04	15.2
PC1083770_2	PC1083770	2	4771	other	0.01	16.4
PC1251447_2	PC1251447	2	NA	unannotated	NA	NA
PC1099170_1	PC1099170	1	NA	unannotated	NA	NA
PC289345_1	PC289345	1	1198	other	5.5e-12	47.5
PC3784_2	PC3784	2	18885	unknown function	2.5e-21	77.9
PC49427_1	PC49427	1	NA	unannotated	NA	NA
PC116169_4	PC116169	4	24099	unknown function	4.4	9.5
PC724168_2	PC724168	2	293	moron, auxiliary metabolic gene and host takeover	6.7e-46	158.3
PC969800_3	PC969800	3	669	lysis	0.079	11.7
PC684955_2	PC684955	2	NA	unannotated	NA	NA
PC710876_4	PC710876	4	2668	unknown function	6.6e-53	181.6
PC634305_1	PC634305	1	NA	unannotated	NA	NA
PC787480_13	PC787480	13	18374	unknown function	3.9e-11	44.0
PC1435160_2	PC1435160	2	5005	unknown function	0.17	13.6
PC439138_1	PC439138	1	24700	unknown function	2e-05	26.3
PC28655_1	PC28655	1	NA	unannotated	NA	NA
PC1294178_1	PC1294178	1	4121	other	0.13	13.8
PC560476_4	PC560476	4	293	moron, auxiliary metabolic gene and host takeover	2.8e-72	245.7
PC77527_6	PC77527	6	6731	unknown function	6.4e-54	184.9
PC425712_2	PC425712	2	NA	unannotated	NA	NA
PC459979_1	PC459979	1	NA	unannotated	NA	NA
PC946105_5	PC946105	5	NA	unannotated	NA	NA
PC354213_1	PC354213	1	35584	unknown function	0.34	12.9
PC1093707_1	PC1093707	1	NA	unannotated	NA	NA
PC74948_17	PC74948	17	22655	unknown function	0.17	12.1
PC475978_2	PC475978	2	2392	moron, auxiliary metabolic gene and host takeover	6.9e-27	95.6
PC512163_2	PC512163	2	NA	unannotated	NA	NA
PC1061835_2	PC1061835	2	NA	unannotated	NA	NA
PC73417_1	PC73417	1	13226	unknown function	6.4e-108	363.7
PC276912_2	PC276912	2	8660	DNA, RNA and nucleotide metabolism	4.3e-11	44.8
PC75214_4	PC75214	4	NA	unannotated	NA	NA
PC235768_6	PC235768	6	7713	unknown function	2e-22	80.4
PC517712_1	PC517712	1	NA	unannotated	NA	NA
PC1433043_9	PC1433043	9	27533	unknown function	5.4e-12	46.9
PC238592_2	PC238592	2	14953	unknown function	0.13	14.1
PC666118_1	PC666118	1	13567	unknown function	0.38	12.3
PC90314_4	PC90314	4	17374	unknown function	0.14	13.6
PC1372298_3	PC1372298	3	NA	unannotated	NA	NA
PC384893_1	PC384893	1	155	DNA, RNA and nucleotide metabolism	2.3	9.2
PC22293_1	PC22293	1	3736	unknown function	1.5e-65	223.1
PC660423_3	PC660423	3	3142	moron, auxiliary metabolic gene and host takeover	1.3e-13	51.8
PC1206640_3	PC1206640	3	19116	unknown function	1.1e-05	26.5
PC826547_2	PC826547	2	8572	unknown function	1.1e-92	313.3
PC1207560_1	PC1207560	1	11659	unknown function	1.4	10.7
PC721908_35	PC721908	35	1327	lysis	0.0059	18.0
PC385622_2	PC385622	2	8682	unknown function	0.061	15.1
PC1144744_1	PC1144744	1	NA	unannotated	NA	NA
PC521306_1	PC521306	1	2034	unknown function	9.7e-14	52.3
PC872449_1	PC872449	1	NA	unannotated	NA	NA
PC818852_3	PC818852	3	NA	unannotated	NA	NA
PC993877_2	PC993877	2	10706	unknown function	0.58	11.5
PC1558_3	PC1558	3	22644	unknown function	3.9e-09	37.1
PC887674_1	PC887674	1	38247	unknown function	1.9e-29	104.4
PC55555_8	PC55555	8	345	DNA, RNA and nucleotide metabolism	0.00068	20.9
PC1366013_9	PC1366013	9	1748	unknown function	0.0083	16.8
PC1341763_1	PC1341763	1	28622	unknown function	1e-125	421.4
PC1468450_4	PC1468450	4	9712	unknown function	0.0086	16.8
PC30952_2	PC30952	2	30623	unknown function	2.9e-12	47.7
PC870962_4	PC870962	4	5516	unknown function	0.26	12.9
PC686252_3	PC686252	3	31853	unknown function	0.27	12.7
PC1073283_1	PC1073283	1	21372	unknown function	0.0036	18.8
PC1197499_5	PC1197499	5	NA	unannotated	NA	NA
PC125831_3	PC125831	3	NA	unannotated	NA	NA
PC1162078_1	PC1162078	1	19065	unknown function	4.9e-154	515.3
PC1319356_5	PC1319356	5	16154	unknown function	4.8e-32	112.4
PC1259607_3	PC1259607	3	11671	unknown function	2.2e-15	58.5
PC229769_4	PC229769	4	21525	unknown function	0.026	16.5
PC692397_1	PC692397	1	35001	unknown function	3.5e-18	67.4
PC1278202_2	PC1278202	2	30332	unknown function	0.62	11.6
PC243728_15	PC243728	15	NA	unannotated	NA	NA
PC1436621_4	PC1436621	4	12933	unknown function	0.0083	17.6
PC1531411_2	PC1531411	2	NA	unannotated	NA	NA
PC54674_1	PC54674	1	382	tail	3.4e-09	37.2
PC34873_1	PC34873	1	293	moron, auxiliary metabolic gene and host takeover	1.5e-42	147.2
PC303450_1	PC303450	1	10580	unknown function	0.16	13.2
PC111503_3	PC111503	3	28777	unknown function	1.4	10.2
PC1205372_1	PC1205372	1	25425	unknown function	0.19	12.7
PC1516684_3	PC1516684	3	293	moron, auxiliary metabolic gene and host takeover	1.3e-31	110.9
PC946105_1	PC946105	1	2599	moron, auxiliary metabolic gene and host takeover	1.3e-14	55.3
PC70587_3	PC70587	3	77	DNA, RNA and nucleotide metabolism	1.9e-13	51.4
PC295860_2	PC295860	2	NA	unannotated	NA	NA
PC310974_4	PC310974	4	NA	unannotated	NA	NA
PC140090_4	PC140090	4	NA	unannotated	NA	NA
PC92520_6	PC92520	6	9038	unknown function	1.3e-16	62.4
PC897370_7	PC897370	7	17237	unknown function	0.0046	18.5
PC1359235_1	PC1359235	1	9266	unknown function	7.4e-37	128.6
PC363645_3	PC363645	3	NA	unannotated	NA	NA
PC845425_6	PC845425	6	27335	unknown function	1.9e-56	192.9
PC46728_4	PC46728	4	6397	DNA, RNA and nucleotide metabolism	4.5e-37	129.2
PC406001_1	PC406001	1	3736	unknown function	2.3e-47	163.4
PC808543_2	PC808543	2	22570	unknown function	1.1e-54	187.5
PC1516959_1	PC1516959	1	11199	unknown function	1.9e-49	170.3
PC580875_1	PC580875	1	NA	unannotated	NA	NA
PC426548_2	PC426548	2	NA	unannotated	NA	NA
PC282864_2	PC282864	2	6397	DNA, RNA and nucleotide metabolism	6.1e-22	79.3
PC299089_1	PC299089	1	13321	unknown function	4.6e-28	99.7
PC1393937_3	PC1393937	3	5353	unknown function	7.3e-25	89.5
PC33030_1	PC33030	1	NA	unannotated	NA	NA
PC1559344_3	PC1559344	3	13642	unknown function	3.9e-13	50.5
PC687106_1	PC687106	1	13807	unknown function	3.8e-35	122.8
PC609800_36	PC609800	36	3311	unknown function	0.34	12.6
PC878034_5	PC878034	5	NA	unannotated	NA	NA
PC1029719_2	PC1029719	2	6348	unknown function	0.039	15.8
PC1127463_49	PC1127463	49	2439	transcription regulation	0.077	13.3
PC729044_1	PC729044	1	NA	unannotated	NA	NA
PC1169582_2	PC1169582	2	33266	unknown function	0.26	13.1
PC1474129_3	PC1474129	3	NA	unannotated	NA	NA
PC113709_1	PC113709	1	NA	unannotated	NA	NA
PC422539_4	PC422539	4	12787	unknown function	9.6e-122	408.3
PC618965_4	PC618965	4	22204	unknown function	0.018	16.4
PC638487_2	PC638487	2	29288	unknown function	0.5	9.1
PC1324081_3	PC1324081	3	4493	unknown function	3.4	9.1
PC348589_7	PC348589	7	6743	unknown function	7.8e-32	112.3
PC1379911_5	PC1379911	5	17228	other	0.68	11.6
PC1392135_3	PC1392135	3	540	DNA, RNA and nucleotide metabolism	1.1e-39	138.0
PC1340636_2	PC1340636	2	12638	unknown function	0.34	11.9
PC76405_2	PC76405	2	NA	unannotated	NA	NA
PC912053_3	PC912053	3	26019	unknown function	0.23	10.4
PC599617_1	PC599617	1	38048	unknown function	0.38	12.3
PC1376575_5	PC1376575	5	25067	unknown function	0.13	13.7
PC982298_1	PC982298	1	36966	unknown function	0.018	15.3
PC227184_5	PC227184	5	695	DNA, RNA and nucleotide metabolism	0.0002	21.8
PC686987_3	PC686987	3	1249	other	2e-07	32.4
PC1241958_3	PC1241958	3	8439	unknown function	1.8e-18	67.6
PC287722_4	PC287722	4	NA	unannotated	NA	NA
PC1419700_6	PC1419700	6	NA	unannotated	NA	NA
PC135639_5	PC135639	5	22787	moron, auxiliary metabolic gene and host takeover	0.41	12.4
PC379050_2	PC379050	2	876	transcription regulation	6e-07	30.7
PC1221790_3	PC1221790	3	NA	unannotated	NA	NA
PC932229_2	PC932229	2	19169	DNA, RNA and nucleotide metabolism	2.1e-58	199.2
PC420561_10	PC420561	10	32316	unknown function	0.011	17.3
PC1136278_3	PC1136278	3	1916	unknown function	1.8e-10	41.8
PC1348240_3	PC1348240	3	27395	unknown function	1.7e-15	58.4
PC1031651_2	PC1031651	2	19509	unknown function	6.6e-94	316.9
PC1403936_4	PC1403936	4	9725	unknown function	0.19	13.8
PC111503_10	PC111503	10	33002	unknown function	8.7e-29	101.8
PC306584_4	PC306584	4	1249	other	7.9e-15	56.5
PC1370527_1	PC1370527	1	4646	integration and excision	2.6e-47	163.2
PC864452_3	PC864452	3	789	other	5.9e-05	23.4
PC1403789_6	PC1403789	6	8772	unknown function	1.9e-21	78.4
PC1031414_1	PC1031414	1	NA	unannotated	NA	NA
PC238234_1	PC238234	1	NA	unannotated	NA	NA
PC1180142_2	PC1180142	2	731	unknown function	1.4e-18	68.5
PC529563_7	PC529563	7	NA	unannotated	NA	NA
PC519596_32	PC519596	32	678	DNA, RNA and nucleotide metabolism	9.9e-19	69.6
PC1495099_4	PC1495099	4	293	moron, auxiliary metabolic gene and host takeover	9.4e-149	498.8
PC531700_2	PC531700	2	27210	unknown function	0.2	13.1
PC260502_2	PC260502	2	30510	unknown function	8.4e-32	111.6
PC342006_1	PC342006	1	2361	other	1.3e-31	111.5
PC1084759_2	PC1084759	2	35309	unknown function	0.47	11.9
PC301280_2	PC301280	2	5735	unknown function	3.6e-05	25.3
PC765433_1	PC765433	1	NA	unannotated	NA	NA
PC1443100_1	PC1443100	1	NA	unannotated	NA	NA
PC191698_2	PC191698	2	16004	unknown function	0.029	16.0
PC652674_1	PC652674	1	1815	other	0.00066	21.5
PC1478346_1	PC1478346	1	NA	unannotated	NA	NA
PC139245_1	PC139245	1	1916	unknown function	1.1e-90	306.3
PC450911_1	PC450911	1	18684	unknown function	0.25	13.0
PC599612_1	PC599612	1	NA	unannotated	NA	NA
PC204870_2	PC204870	2	11528	unknown function	0.036	14.6
PC273428_8	PC273428	8	NA	unannotated	NA	NA
PC777477_6	PC777477	6	8032	unknown function	0.3	12.8
PC994883_3	PC994883	3	26117	unknown function	0.88	11.2
PC1079312_4	PC1079312	4	9266	unknown function	1.5e-35	124.3
PC1386704_1	PC1386704	1	NA	unannotated	NA	NA
PC1486120_2	PC1486120	2	NA	unannotated	NA	NA
PC980215_4	PC980215	4	3419	DNA, RNA and nucleotide metabolism	2.5e-17	64.9
PC313466_3	PC313466	3	164	DNA, RNA and nucleotide metabolism	4.9e-42	146.1
PC373001_3	PC373001	3	10948	unknown function	2.9e-34	120.2
PC672421_3	PC672421	3	35990	unknown function	0.0018	19.9
PC1443370_3	PC1443370	3	NA	unannotated	NA	NA
PC1546081_4	PC1546081	4	24351	DNA, RNA and nucleotide metabolism	0.13	14.3
PC1252113_2	PC1252113	2	20111	unknown function	0.05	15.4
PC777477_1	PC777477	1	20720	unknown function	3.6e-06	27.6
PC1579142_3	PC1579142	3	293	moron, auxiliary metabolic gene and host takeover	2.3e-58	199.6
PC292968_1	PC292968	1	18916	unknown function	1.3e-227	758.8
PC55436_1	PC55436	1	30452	unknown function	0.2	13.2
PC967488_2	PC967488	2	3142	moron, auxiliary metabolic gene and host takeover	1.1e-51	177.4
PC975488_2	PC975488	2	4715	DNA, RNA and nucleotide metabolism	1.8e-39	137.2
PC403751_1	PC403751	1	34613	unknown function	2.3e-41	143.2
PC1008980_4	PC1008980	4	NA	unannotated	NA	NA
PC1546323_4	PC1546323	4	36110	unknown function	0.17	13.7
PC612694_1	PC612694	1	9788	unknown function	5.2e-12	47.2
PC1157461_2	PC1157461	2	2995	unknown function	0.11	13.6
PC698449_1	PC698449	1	32995	unknown function	0.084	14.2
PC883587_2	PC883587	2	NA	unannotated	NA	NA
PC321817_3	PC321817	3	NA	unannotated	NA	NA
PC962380_2	PC962380	2	NA	unannotated	NA	NA
PC64108_6	PC64108	6	1740	transcription regulation	8e-28	98.8
PC237943_3	PC237943	3	NA	unannotated	NA	NA
PC72357_2	PC72357	2	15577	unknown function	1e-10	42.2
PC795130_3	PC795130	3	841	moron, auxiliary metabolic gene and host takeover	2.2e-12	48.6
PC1431723_1	PC1431723	1	19158	tail	0.27	10.3
PC617321_1	PC617321	1	NA	unannotated	NA	NA
PC1153229_1	PC1153229	1	NA	unannotated	NA	NA
PC575938_3	PC575938	3	20302	unknown function	9.4e-05	23.9
PC1207622_4	PC1207622	4	177	tail	1.9e-78	266.4
PC666628_2	PC666628	2	NA	unannotated	NA	NA
PC61490_1	PC61490	1	16930	unknown function	5.8e-47	162.3
PC1120980_1	PC1120980	1	28604	unknown function	1.2e-31	111.3
PC67866_6	PC67866	6	6988	unknown function	5.7e-12	47.2
PC458635_2	PC458635	2	22862	unknown function	0.15	13.9
PC137213_15	PC137213	15	NA	unannotated	NA	NA
PC1499420_1	PC1499420	1	15412	unknown function	0.04	15.6
PC1315296_2	PC1315296	2	12156	DNA, RNA and nucleotide metabolism	0.01	16.0
PC1019618_4	PC1019618	4	2488	DNA, RNA and nucleotide metabolism	2.7e-27	97.2
PC176556_2	PC176556	2	125	DNA, RNA and nucleotide metabolism	6.2e-35	122.5
PC123115_2	PC123115	2	7590	unknown function	0.00027	22.3
PC993425_3	PC993425	3	NA	unannotated	NA	NA
PC907982_1	PC907982	1	NA	unannotated	NA	NA
PC342810_3	PC342810	3	35259	unknown function	3.2e-14	54.3
PC1364816_1	PC1364816	1	23281	unknown function	2.8e-47	162.9
PC188910_7	PC188910	7	171	DNA, RNA and nucleotide metabolism	0.12	13.5
PC1398097_2	PC1398097	2	NA	unannotated	NA	NA
PC633413_10	PC633413	10	NA	unannotated	NA	NA
PC746451_2	PC746451	2	1538	tail	0.18	11.9
PC1200831_2	PC1200831	2	6433	unknown function	1.8e-51	177.2
PC775367_2	PC775367	2	33850	unknown function	0.0012	20.7
PC773481_4	PC773481	4	13084	unknown function	1e-47	163.6
PC49161_3	PC49161	3	5594	unknown function	0.022	15.2
PC1255342_2	PC1255342	2	5650	unknown function	6e-24	86.1
PC882530_2	PC882530	2	16409	unknown function	3.8e-24	87.1
PC1319096_2	PC1319096	2	506	integration and excision	2.5e-05	25.1
PC6350_2	PC6350	2	16655	unknown function	4.8e-09	36.9
PC977845_1	PC977845	1	11383	unknown function	6.5e-06	27.3
PC611784_2	PC611784	2	NA	unannotated	NA	NA
PC181740_1	PC181740	1	200	other	1.3e-24	88.5
PC319828_3	PC319828	3	38301	unknown function	0.16	13.9
PC834458_3	PC834458	3	24342	unknown function	0.097	14.2
PC1472070_4	PC1472070	4	6988	unknown function	1.4e-05	26.5
PC85133_8	PC85133	8	NA	unannotated	NA	NA
PC139080_1	PC139080	1	7957	unknown function	8.3e-16	59.0
PC120740_3	PC120740	3	21088	unknown function	1.1	9.7
PC341801_4	PC341801	4	NA	unannotated	NA	NA
PC992666_2	PC992666	2	35155	unknown function	1.5e-29	104.7
PC235252_3	PC235252	3	NA	unannotated	NA	NA
PC884631_3	PC884631	3	3830	unknown function	2e-227	759.4
PC2549_4	PC2549	4	2455	unknown function	1.9e-15	58.4
PC423100_2	PC423100	2	NA	unannotated	NA	NA
PC45201_1	PC45201	1	11671	unknown function	1.1e-07	33.5
PC1031897_1	PC1031897	1	35524	unknown function	0.16	13.6
PC522853_5	PC522853	5	7066	unknown function	0.37	12.6
PC40810_3	PC40810	3	7218	moron, auxiliary metabolic gene and host takeover	2.1e-45	156.5
PC1523835_2	PC1523835	2	13464	unknown function	0.0013	20.0
PC574388_8	PC574388	8	NA	unannotated	NA	NA
PC1394269_3	PC1394269	3	1577	unknown function	6.6e-13	49.7
PC59885_1	PC59885	1	8614	unknown function	3.3e-23	84.0
PC991579_2	PC991579	2	32725	unknown function	0.27	12.9
PC943773_1	PC943773	1	9684	unknown function	2.2e-24	87.9
PC126674_4	PC126674	4	4297	lysis	0.081	14.5
PC1115529_2	PC1115529	2	NA	unannotated	NA	NA
PC1331850_8	PC1331850	8	30725	unknown function	0.15	12.5
PC1531310_3	PC1531310	3	NA	unannotated	NA	NA
PC703181_1	PC703181	1	14454	unknown function	0.13	14.4
PC253306_3	PC253306	3	24972	unknown function	0.035	15.8
PC1397208_1	PC1397208	1	30773	unknown function	8.5e-14	52.3
PC1004401_6	PC1004401	6	36913	unknown function	0.056	15.0
PC136549_2	PC136549	2	2763	unknown function	0.33	12.5
PC711247_2	PC711247	2	11187	transcription regulation	0.0001	23.5
PC1180532_1	PC1180532	1	15131	unknown function	0.17	13.3
PC115168_5	PC115168	5	20880	unknown function	1.8e-09	39.0
PC407058_1	PC407058	1	7998	unknown function	1.6e-43	150.7
PC1268712_2	PC1268712	2	293	moron, auxiliary metabolic gene and host takeover	8.6e-65	220.9
PC121826_10	PC121826	10	10937	unknown function	0.19	13.3
PC378871_3	PC378871	3	NA	unannotated	NA	NA
PC1288646_4	PC1288646	4	NA	unannotated	NA	NA
PC472014_7	PC472014	7	NA	unannotated	NA	NA
PC1509299_1	PC1509299	1	15344	unknown function	2.9e-227	757.2
PC568703_3	PC568703	3	16556	unknown function	0.1	14.2
PC372717_6	PC372717	6	20880	unknown function	6.6e-20	72.6
PC632584_1	PC632584	1	9075	unknown function	0.51	11.9
PC750947_2	PC750947	2	293	moron, auxiliary metabolic gene and host takeover	0.00025	20.7
PC1190062_4	PC1190062	4	31529	unknown function	2.9e-71	241.4
PC1417761_4	PC1417761	4	293	moron, auxiliary metabolic gene and host takeover	1.4e-61	210.2
PC510199_2	PC510199	2	12615	unknown function	0.021	15.5
PC289606_1	PC289606	1	30623	unknown function	2e-12	48.3
PC664858_3	PC664858	3	13280	unknown function	0.0026	19.1
PC640855_2	PC640855	2	8986	unknown function	8.6e-31	108.8
PC1525172_2	PC1525172	2	NA	unannotated	NA	NA
PC554326_3	PC554326	3	8401	other	0.00068	17.5
PC1344992_5	PC1344992	5	NA	unannotated	NA	NA
PC943348_1	PC943348	1	31069	moron, auxiliary metabolic gene and host takeover	1.5	8.6
PC1147452_3	PC1147452	3	6434	unknown function	2e-09	38.3
PC1346383_2	PC1346383	2	29532	unknown function	1.8e-15	58.4
PC1086581_3	PC1086581	3	16	DNA, RNA and nucleotide metabolism	3e-69	235.8
PC157485_3	PC157485	3	NA	unannotated	NA	NA
PC202409_4	PC202409	4	NA	unannotated	NA	NA
PC1054305_7	PC1054305	7	NA	unannotated	NA	NA
PC1383100_6	PC1383100	6	1440	head and packaging	0.75	11.4
PC709921_2	PC709921	2	54	other	0.0045	18.7
PC1437613_1	PC1437613	1	944	moron, auxiliary metabolic gene and host takeover	3.7	8.7
PC1194127_8	PC1194127	8	6664	unknown function	0.021	16.8
PC52016_2	PC52016	2	NA	unannotated	NA	NA
PC88267_2	PC88267	2	24208	unknown function	0.056	14.5
PC1221661_39	PC1221661	39	8763	tail	0.0011	18.6
PC4382_2	PC4382	2	20880	unknown function	0.0035	18.7
PC109847_1	PC109847	1	1358	moron, auxiliary metabolic gene and host takeover	1.7e-05	24.1
PC209671_31	PC209671	31	403	DNA, RNA and nucleotide metabolism	9.8e-14	52.5
PC456061_3	PC456061	3	38809	unknown function	0.095	14.4
PC547121_2	PC547121	2	NA	unannotated	NA	NA
PC1258136_3	PC1258136	3	32125	unknown function	0.091	14.5
PC956031_3	PC956031	3	NA	unannotated	NA	NA
PC517103_5	PC517103	5	35435	unknown function	3.1e-07	31.0
PC1523362_2	PC1523362	2	32290	unknown function	0.001	19.9
PC438553_1	PC438553	1	11275	unknown function	2.3e-08	34.9
PC1234528_4	PC1234528	4	10408	unknown function	6e-12	46.5
PC335109_4	PC335109	4	7520	unknown function	0.23	12.7
PC1379736_7	PC1379736	7	8468	other	4.4e-38	132.8
PC327659_2	PC327659	2	2455	unknown function	1.1e-16	62.5
PC888888_1	PC888888	1	2383	unknown function	0.4	12.0
PC1017834_5	PC1017834	5	876	transcription regulation	0.28	12.2
PC1293213_4	PC1293213	4	NA	unannotated	NA	NA
PC1295176_31	PC1295176	31	664	DNA, RNA and nucleotide metabolism	0.0048	18.3
PC787480_9	PC787480	9	14201	unknown function	3.9e-26	93.5
PC1300578_1	PC1300578	1	NA	unannotated	NA	NA
PC284896_2	PC284896	2	9248	unknown function	1.2e-35	124.6
PC580790_2	PC580790	2	1815	other	0.0012	20.7
PC1072146_4	PC1072146	4	93	DNA, RNA and nucleotide metabolism	2.1e-16	61.2
PC1035360_2	PC1035360	2	12013	unknown function	0.1	13.6
PC445947_2	PC445947	2	NA	unannotated	NA	NA
PC773433_2	PC773433	2	36051	unknown function	0.071	14.7
PC1090754_1	PC1090754	1	8771	unknown function	4.8e-12	47.5
PC104379_6	PC104379	6	NA	unannotated	NA	NA
PC348589_9	PC348589	9	6743	unknown function	7.9e-34	118.9
PC87984_2	PC87984	2	16817	unknown function	0.12	13.8
