contig,row_id,gc_content,length,predict_score,label,func_0,func_1,func_2,func_3,func_4,func_5,func_6,func_7,func_8
PC1909,25,0.7187700192184497,1561,0.0039117156419351,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC2055,26,0.4268060836501901,1052,0.0426659621298313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC2112,27,0.5209756097560976,1025,0.002253949875012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC2288,28,0.5804943219772879,1497,0.01465994525768,0,0.0,0.0,0.0,0.0,0.0,34.6,0.0,0.0,0.0
PC2405,29,0.4068441064638783,1315,0.28166750424715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC2549,30,0.5782805429864254,3315,0.263778795079408,1,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0
PC2553,31,0.37624419376244195,1507,0.151066469272083,0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0
PC2638,32,0.5615384615384615,9620,0.0179373333949437,0,0.0,0.0,0.0,0.0,0.0,0.0,110.8,15.2,0.0
PC2668,33,0.33277169334456613,2374,0.0805005509635432,0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0
PC2734,34,0.474129045557617,4851,0.0222082308918467,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
PC3004,35,0.4457762557077626,1752,0.0132488256498967,0,0.0,0.0,0.0,153.5,0.0,0.0,0.0,0.0,0.0
PC3012,36,0.36289222373806274,1466,0.089904900264163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC3065,37,0.4029828486204325,6705,0.0132236152958183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.2,22.3
PC3198,38,0.6532479414455626,1093,0.0244458690285683,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC3242,39,0.4513329200247985,4839,0.0147900421401025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.9
PC3292,40,0.46283128636069815,1547,0.413405667679804,0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0
PC3502,41,0.5968398762013357,6139,0.0898910148715833,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0
PC3549,42,0.734342080061291,5221,0.0027891401276473,0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,66.9
PC3783,43,0.36413415468856947,1461,0.0705514579277019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.1,0.0
PC3784,44,0.4085464551634833,6178,0.0659802008845942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,127.4
PC3949,45,0.37884615384615383,7800,0.0566857401281596,0,0.0,0.0,0.0,0.0,0.0,0.0,247.3,0.0,288.20000000000005
PC4114,46,0.3154651879235983,1623,0.22145288136001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC4171,47,0.5749336870026526,1508,0.342127245206099,1,0.0,0.0,0.0,0.0,0.0,135.8,0.0,0.0,0.0
PC4252,48,0.4752333094041637,1393,0.0179217480509478,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC4382,49,0.3465844185515193,4377,0.563702167796304,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,178.3,0.0
PC4474,50,0.4658860616978158,4441,0.0906953133826799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC4488,51,0.5862361937128292,2354,0.994906985921787,1,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0
PC4725,52,0.4839950754078178,6498,0.032865467467126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC4973,53,0.6544923301680059,1369,0.0048162480904324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.1,0.0
PC5012,54,0.4377615062761506,1912,0.0475885061757586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC5063,55,0.7458116695551704,1731,6.35110525990575e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC5178,56,0.4662775616083009,1542,0.0029389697135197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.20000000000002
PC5242,57,0.3472584856396867,2298,0.0448716774670402,0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC5618,58,0.49021526418786693,2044,0.0054948034107597,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC5659,59,0.5662353666050524,1623,0.0016108733643183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC5683,60,0.6064516129032258,3410,0.018128936913662,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,36.6
PC5902,61,0.38461538461538464,2106,0.0524233789063799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC5940,62,0.44084507042253523,1420,0.293577827198405,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3
PC5991,63,0.5032679738562091,1530,0.806832527413088,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC6063,64,0.4883268482490272,1028,0.0013980352086946,0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0
PC6065,65,0.4638711205875385,4221,0.0087675925752303,0,0.0,0.0,0.0,0.0,116.5,0.0,0.0,0.0,0.0
PC6067,66,0.35702341137123744,1196,0.24666690826416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.5
PC6228,67,0.6908734052993131,1019,0.597449660301208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC6297,68,0.6530201342281879,1490,0.0795646429299408,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC6305,69,0.3586688578471652,2434,0.436221210703854,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC6350,70,0.48680042238648363,1894,0.0053606625816488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC6416,71,0.4012298232129131,1301,0.792411990618357,0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0
PC6480,72,0.46748350612629597,1061,0.0255611687898636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC6613,73,0.5340201245807379,4174,0.0676016182005923,1,0.0,0.0,0.0,172.3,0.0,213.9,0.0,0.0,0.0
PC6772,74,0.3640639698965193,1063,0.582578718662262,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9
PC6858,75,0.3463436518618214,2229,0.184195845516983,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC7009,76,0.5056967572304996,1141,0.924709618091583,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC7224,77,0.45,1140,0.0002637311408761,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC7724,78,0.3002028397565923,1479,0.820001699136189,1,0.0,0.0,0.0,0.0,0.0,94.9,0.0,0.0,0.0
PC8190,79,0.6123388581952118,1086,0.999931216239929,1,126.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8255,80,0.4266409266409266,1036,0.0045658550225198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8340,81,0.6613162118780096,1246,0.0214399756268743,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8417,82,0.5948522402287894,1049,0.107921071350574,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8471,83,0.6057046979865772,1788,0.705405703327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8524,84,0.6949006050129646,1157,0.005653406959027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8651,85,0.7402511566424322,1513,0.0010258398754048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8726,86,0.6169248205515678,2647,0.010237098894618,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC8780,87,0.6994572591587517,1474,0.0699901005074238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC9026,88,0.4803425457376411,2569,0.0449746433470026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC9160,89,0.6252927400468384,9821,0.748891102373691,1,1275.6,202.2,0.0,0.0,0.0,82.8,19.1,0.0,0.0
PC9326,90,0.6962168266516092,7084,0.405885331332684,0,102.7,21.3,165.0,0.0,0.0,0.0,0.0,0.0,0.0
PC9708,91,0.47348242811501595,1565,0.635165329748831,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.9,0.0
PC9755,92,0.5431928127159641,4341,0.02933328754406,0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0
PC9771,93,0.6081903707802988,1807,0.0370539738392065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC9909,94,0.5127537740760021,3842,0.108563100117977,0,0.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,14.8
PC9956,95,0.4606643356643357,1144,0.0444994941353798,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10162,96,0.5568736915561758,2866,0.0401716340756965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10298,97,0.4597594819611471,3243,3.64328602544322e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,0.0
PC10329,98,0.42070588235294115,2125,0.639088065483991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10456,99,0.5516201959306707,1327,0.0474619570987604,0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0
PC10481,100,0.31928783382789316,3370,0.135250819700519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2
PC10665,101,0.5603279968762203,2561,0.171540847258356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10680,102,0.7396714783474365,2009,0.0110220985960877,0,0.0,0.0,0.0,0.0,16.5,32.0,0.0,0.0,0.0
PC10700,103,0.41659464131374246,1157,0.0664915964007378,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10780,104,0.3243470935130581,1187,0.0189567916095257,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10807,105,0.5785123966942148,1331,0.0595207009366542,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10926,106,0.49800243182212955,5757,0.0123131866981782,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC10959,107,0.409452296819788,6792,0.18696168894376,0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,480.5,0.0
PC10966,108,0.34058252427184466,5150,0.397921283051227,1,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11050,109,0.6653284671532846,2740,0.174570260909352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.1
PC11329,110,0.7027481772293886,1783,0.0621242099909077,0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,182.5,0.0
PC11373,111,0.5635018495684341,1622,0.936934731597524,1,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0
PC11472,112,0.3945137157107232,2005,0.0062642391548118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11521,113,0.6851945426983325,3958,0.0009375662721848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11567,114,0.5437201907790143,1887,0.0062721907163027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11606,115,0.4147465437788018,2170,0.0117345191538334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11748,116,0.4441293250141804,1763,0.017078381519864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11759,117,0.393058568329718,2305,0.0634644376417042,0,0.0,0.0,0.0,0.0,51.9,0.0,0.0,76.4,116.8
PC11786,118,0.37985865724381623,1132,0.159203365445137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11909,119,0.2837370242214533,1156,0.126698672771454,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC11925,120,0.32050853128136503,2989,0.407688988296034,0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0
PC11934,121,0.36255787037037035,3456,0.350249356279771,0,0.0,0.0,0.0,0.0,0.0,93.1,0.0,21.5,17.8
PC12192,122,0.5774175517048631,1789,0.741618430851024,1,0.0,0.0,12.6,0.0,0.0,135.5,0.0,0.0,0.0
PC12228,123,0.7343710453049861,7902,0.00012378270416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,126.2
PC12339,124,0.31853582554517135,1284,0.184278173424373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12405,125,0.32540626238604836,2523,0.125464188765544,0,0.0,0.0,0.0,0.0,0.0,230.3,0.0,0.0,0.0
PC12426,126,0.4719468228931951,8876,0.562913268673603,0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0
PC12503,127,0.4837925445705024,1234,0.0248140196287265,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12578,128,0.5002449779519843,2041,0.0176968869033586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12598,129,0.45498783454987834,1233,0.0143260764923409,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12672,130,0.4938366718027735,1298,0.389339196388086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12836,131,0.3536472760849492,1083,0.0008519608527421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12900,132,0.6236600306278713,2612,0.0005835253434066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC12968,133,0.46053702196908053,1229,0.982834705814683,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13082,134,0.3461791110137946,4567,0.17953995367435,0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0
PC13094,135,0.38477951635846375,7030,0.0544765283649054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7
PC13165,136,0.4165242165242165,3510,0.0156274838452665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13339,137,0.661049902786779,1543,0.0038165150407028,0,0.0,0.0,0.0,0.0,0.0,83.8,0.0,0.0,0.0
PC13524,138,0.6513387660069848,3436,0.995326987314835,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13640,139,0.472672446287222,2653,0.0657868045619157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0
PC13642,140,0.3926348547717842,1928,0.0805094883278692,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13749,141,0.6519823788546255,1135,0.001816414296627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13774,142,0.40030763314747164,5201,0.132805293831681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8
PC13808,143,0.8006843455945253,1169,1.55741236085305e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13821,144,0.41765447667087013,3965,0.139305379603429,1,0.0,0.0,19.7,0.0,0.0,0.0,0.0,13.9,0.0
PC13841,145,0.45594713656387664,2724,0.0195188129480747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC13919,146,0.364741641337386,3619,0.0873615814238566,0,0.0,0.0,0.0,0.0,0.0,262.3,0.0,0.0,0.0
PC14172,147,0.28999538958045185,2169,0.204455344354216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14191,148,0.7124043424096814,5619,0.0619999226471095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9
PC14227,149,0.43452958292919497,1031,0.0639479979872704,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14236,150,0.29954311821816104,3502,0.0258719115456202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.6,0.0
PC14398,151,0.6688376753507014,1996,0.0167613168302919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14522,152,0.4023550322150633,4501,0.0189460747695464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14546,153,0.4606741573033708,1068,0.0033203866332769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14656,154,0.7163489312536107,3462,0.178537876233249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0.0
PC14658,155,0.5082781456953642,1208,0.002457362063852,0,0.0,0.0,0.0,0.0,0.0,232.9,0.0,0.0,0.0
PC14733,156,0.4029214850882532,1643,0.109056895729143,0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14842,157,0.2717034256217738,2131,0.201727177771197,0,0.0,0.0,0.0,0.0,0.0,172.7,0.0,0.0,0.0
PC14849,158,0.5628964059196617,1892,0.0611203175282252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
PC14891,159,0.33466533466533466,1001,0.0253314003348351,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14925,160,0.31261101243339257,1689,0.144037387643148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC14965,161,0.5651969981238274,2132,0.0416242640508526,0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0
PC15115,162,0.5402081362346263,1057,0.914349377155304,0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0
PC15342,163,0.6003271537622683,1834,0.0544153995661628,0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,21.9
PC15351,164,0.5684348395546824,1527,0.0024578379354373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC15360,165,0.6267672007540056,1061,0.0004270218778401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC15783,166,0.37103791174642636,1609,0.251483323949698,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC15818,167,0.31656580937972767,7932,0.100412332797677,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1
PC15822,168,0.413585554600172,1163,0.0376754365861416,0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC15848,169,0.4881656804733728,1690,0.0798590967552901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC15861,170,0.3948462177888612,1203,0.0173614238042784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC15928,171,0.522297080526147,3117,0.407332857086523,1,0.0,0.0,0.0,0.0,0.0,19.7,15.0,0.0,0.0
PC16071,172,0.4171511627906977,1376,0.0651362456034782,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.7
PC16125,173,0.6140710382513661,1464,0.0878968932398701,0,0.0,0.0,0.0,0.0,0.0,120.4,0.0,0.0,0.0
PC16135,174,0.39528508771929827,3648,0.0424520265292621,0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
PC16228,175,0.7503974562798092,3145,0.0001856998054348,0,0.0,0.0,0.0,0.0,0.0,0.0,48.7,0.0,52.5
PC16414,176,0.44236526946107785,4008,0.0063787631266666,0,167.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC16496,177,0.5851022771130837,2591,0.0892318180368279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.7
PC16610,178,0.4024045261669024,1414,0.0975378427175012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC16642,179,0.4430379746835443,1106,0.0132811143994331,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC16668,180,0.45631825273010923,1282,0.106690056424431,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.9
PC16690,181,0.277504105090312,1218,0.252167211817991,0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC16813,182,0.5348623853211009,1090,0.0062980712391436,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC16833,183,0.4263640753259295,4142,0.215699324201755,0,0.0,0.0,0.0,0.0,0.0,125.4,0.0,0.0,0.0
PC16842,184,0.5888349514563107,2060,0.193888308643137,1,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0
PC16855,185,0.5415949512335054,1743,0.127097302515592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC16987,186,0.3357825128581925,1361,0.0787483177186811,0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0
PC17178,187,0.615967365967366,1716,0.0045986544609296,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC17405,188,0.28818061088977426,1506,0.696222948125634,1,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
PC17459,189,0.5946372239747634,1268,0.0831108535125804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,60.8
PC17508,190,0.4305404425099746,2757,0.635564128514602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9
PC17541,191,0.4810126582278481,1264,0.0208956341176659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC17680,192,0.36700158646218933,1891,0.297351129703708,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3
PC17779,193,0.3418745785569791,1483,0.0658693518677999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC17797,194,0.29227557411273486,1437,0.118710088580536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,0.0
PC17900,195,0.3994111874386654,1019,0.613969504833221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4
PC18002,196,0.4217347956131605,2006,0.125338242442188,0,0.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,0.0
PC18034,197,0.41092847623278544,4502,0.0690667809366597,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18180,198,0.63375,1600,0.218654447700828,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18265,199,0.33988985051140835,1271,0.471944674579859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18305,200,0.5143992055610725,1007,0.0208343211561441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18357,201,0.37142857142857144,5285,0.105680527157602,0,0.0,0.0,0.0,0.0,14.6,71.6,0.0,401.2,0.0
PC18371,202,0.3404255319148936,1081,0.265622794628143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18397,203,0.6159068865179438,1031,0.0006529946695081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18479,204,0.6379897785349233,1174,0.0020761417690664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18668,205,0.5654633172517052,6011,0.0490969580315727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18811,206,0.4247363374880153,2086,0.0139102779225243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18874,207,0.5094588649362076,2273,0.898357606280285,1,0.0,0.0,0.0,0.0,0.0,76.2,12.6,0.0,0.0
PC18889,208,0.7309113300492611,1624,0.011354297267801,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC18949,209,0.5145556198187777,5187,0.117662889597439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC19078,210,0.7607726597325408,1346,0.0004833954897719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC19082,211,0.300161377084454,1859,0.495995605549805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
